"","address_from","address_to","departure_time"
"77","41.7280697384747+-87.5963650537819","41.9849092714936+-87.804541879143",1531753802
"78","41.6600735833141+-87.6027606644691","41.7280697384747+-87.5963650537819",1531753802
"79","41.6600735833141+-87.6027606644691","41.6600735833141+-87.6027606644691",1531753802
"80","41.6600735833141+-87.6027606644691","42.0096631911395+-87.6703701938129",1531753802
"81","41.6600735833141+-87.6027606644691","42.0016266052879+-87.6952739229127",1531753802
"82","41.6600735833141+-87.6027606644691","41.9660049251669+-87.6560655873818",1531753802
"83","41.6600735833141+-87.6027606644691","41.9752938653085+-87.6876044912929",1531753802
"84","41.6600735833141+-87.6027606644691","41.947802478396+-87.6838288880792",1531753802
"85","41.6600735833141+-87.6027606644691","41.9443051170158+-87.6559584046758",1531753802
"86","41.6600735833141+-87.6027606644691","41.9225628780949+-87.6492264530699",1531753802
"87","41.6600735833141+-87.6027606644691","42.0074587818873+-87.8139526140864",1531753802
"88","41.6600735833141+-87.6027606644691","41.9786623813445+-87.7709799398797",1531753802
"89","41.6600735833141+-87.6027606644691","41.9937899822757+-87.758306927832",1531753802
"90","41.6600735833141+-87.6027606644691","41.9835235863978+-87.7235976823831",1531753802
"91","41.6600735833141+-87.6027606644691","41.9679829995773+-87.7214281179818",1531753802
"92","41.6600735833141+-87.6027606644691","41.9538532333971+-87.7632868435899",1531753802
"93","41.6600735833141+-87.6027606644691","41.953476156782+-87.7234277416332",1531753802
"94","41.6600735833141+-87.6027606644691","41.9463738460307+-87.8059469561618",1531753802
"95","41.6600735833141+-87.6027606644691","41.9291592878285+-87.7979118631765",1531753802
"96","41.6600735833141+-87.6027606644691","41.9270986914441+-87.7653924214029",1531753802
"97","41.6600735833141+-87.6027606644691","41.9242178973088+-87.7345987231629",1531753802
"98","41.6600735833141+-87.6027606644691","41.9385658738959+-87.711080987541",1531753802
"99","41.6600735833141+-87.6027606644691","41.9226789514424+-87.6991063254002",1531753802
"100","41.6600735833141+-87.6027606644691","41.8999821907166+-87.7208184888597",1531753802
"101","41.6600735833141+-87.6027606644691","41.9011559749849+-87.676415061286",1531753802
"102","41.6600735833141+-87.6027606644691","41.8995471517769+-87.6332700966026",1531753802
"103","41.6600735833141+-87.6027606644691","41.8940053778173+-87.7629749199119",1531753802
"104","41.6600735833141+-87.6027606644691","41.8785040925962+-87.7301443114603",1531753802
"105","41.6600735833141+-87.6027606644691","41.8787818601916+-87.7059139182524",1531753802
"106","41.6600735833141+-87.6027606644691","41.8740352843214+-87.6635536721441",1531753802
"107","41.6600735833141+-87.6027606644691","41.8601262251482+-87.7171532950132",1531753802
"108","41.6600735833141+-87.6027606644691","41.8390114768947+-87.7140496155995",1531753802
"109","41.6600735833141+-87.6027606644691","41.8502567877367+-87.6672680881399",1531753802
"110","41.6600735833141+-87.6027606644691","41.8782925714324+-87.626076118601",1531753802
"111","41.6600735833141+-87.6027606644691","41.85726065669+-87.6203836316986",1531753802
"112","41.6600735833141+-87.6027606644691","41.8419653804173+-87.6338795824279",1531753802
"113","41.6600735833141+-87.6027606644691","41.8350725174674+-87.6186374457239",1531753802
"114","41.6600735833141+-87.6027606644691","41.8235575022133+-87.6033262875412",1531753802
"115","41.6600735833141+-87.6027606644691","41.8090232230865+-87.6323556977827",1531753802
"116","41.6600735833141+-87.6027606644691","41.812848909257+-87.6178577231512",1531753802
"117","41.6600735833141+-87.6027606644691","41.8088052230625+-87.5959367718463",1531753802
"118","41.6600735833141+-87.6027606644691","41.7922326296234+-87.6180150144074",1531753802
"119","41.6600735833141+-87.6027606644691","41.7939655116723+-87.5919106636563",1531753802
"120","41.6600735833141+-87.6027606644691","41.7788926978829+-87.5941325451083",1531753802
"121","41.6600735833141+-87.6027606644691","41.7616193467157+-87.5727470665295",1531753802
"122","41.6600735833141+-87.6027606644691","41.7401322346728+-87.6158514499342",1531753802
"123","41.6600735833141+-87.6027606644691","41.7441202257605+-87.5861921763079",1531753802
"124","41.6600735833141+-87.6027606644691","41.7413785813157+-87.5513955113753",1531753802
"125","41.6600735833141+-87.6027606644691","41.729615128567+-87.5725274700127",1531753802
"126","41.6600735833141+-87.6027606644691","41.7065552558309+-87.6232658413343",1531753802
"127","41.6600735833141+-87.6027606644691","41.7058963058351+-87.598104102787",1531753802
"128","41.6600735833141+-87.6027606644691","41.6906385662062+-87.5698357426607",1531753802
"129","41.6600735833141+-87.6027606644691","41.7066550122029+-87.534804215858",1531753802
"130","41.6600735833141+-87.6027606644691","41.6604320500272+-87.5465856207628",1531753802
"131","41.6600735833141+-87.6027606644691","41.6735687088478+-87.6354937597493",1531753802
"132","41.6600735833141+-87.6027606644691","41.796264856876+-87.7641557922866",1531753802
"133","41.6600735833141+-87.6027606644691","41.8109819729256+-87.7262954303026",1531753802
"134","41.6600735833141+-87.6027606644691","41.8173919060482+-87.6989565180089",1531753802
"135","41.6600735833141+-87.6027606644691","41.8298751695202+-87.6725404738332",1531753802
"136","41.6600735833141+-87.6027606644691","41.8360972262197+-87.6486657577671",1531753802
"137","41.6600735833141+-87.6027606644691","41.8090047564555+-87.6591125453525",1531753802
"138","41.6600735833141+-87.6027606644691","41.7931003787602+-87.7241696258954",1531753802
"139","41.6600735833141+-87.6027606644691","41.769813487811+-87.7269587839611",1531753802
"140","41.6600735833141+-87.6027606644691","41.7718171397642+-87.6956225011237",1531753802
"141","41.6600735833141+-87.6027606644691","41.7758191434555+-87.6665444291438",1531753802
"142","41.6600735833141+-87.6027606644691","41.7771553035109+-87.642533797381",1531753802
"143","41.6600735833141+-87.6027606644691","41.7631313750895+-87.6161449758319",1531753802
"144","41.6600735833141+-87.6027606644691","41.7458789496277+-87.708447442138",1531753802
"145","41.6600735833141+-87.6027606644691","41.7441251555629+-87.6561939910038",1531753802
"146","41.6600735833141+-87.6027606644691","41.713174341624+-87.674905487756",1531753802
"147","41.6600735833141+-87.6027606644691","41.717497136584+-87.6488126158935",1531753802
"148","41.6600735833141+-87.6027606644691","41.6949427303407+-87.7131143035803",1531753802
"149","41.6600735833141+-87.6027606644691","41.6897028333982+-87.6689093722473",1531753802
"150","41.6600735833141+-87.6027606644691","41.9868055870168+-87.6636453524612",1531753802
"151","41.6600735833141+-87.6027606644691","41.7796443848087+-87.7685395125761",1531753802
"152","41.6600735833141+-87.6027606644691","41.7953684038668+-87.6963426618231",1531753802
"153","41.6600735833141+-87.6027606644691","41.9755410217275+-87.8934158515724",1531753802
"154","41.6600735833141+-87.6027606644691","41.9849092714936+-87.804541879143",1531753802
"155","42.0096631911395+-87.6703701938129","41.7280697384747+-87.5963650537819",1531753802
"156","42.0096631911395+-87.6703701938129","41.6600735833141+-87.6027606644691",1531753802
"157","42.0096631911395+-87.6703701938129","42.0096631911395+-87.6703701938129",1531753802
"158","42.0096631911395+-87.6703701938129","42.0016266052879+-87.6952739229127",1531753802
"159","42.0096631911395+-87.6703701938129","41.9660049251669+-87.6560655873818",1531753802
"160","42.0096631911395+-87.6703701938129","41.9752938653085+-87.6876044912929",1531753802
"161","42.0096631911395+-87.6703701938129","41.947802478396+-87.6838288880792",1531753802
"162","42.0096631911395+-87.6703701938129","41.9443051170158+-87.6559584046758",1531753802
"163","42.0096631911395+-87.6703701938129","41.9225628780949+-87.6492264530699",1531753802
"164","42.0096631911395+-87.6703701938129","42.0074587818873+-87.8139526140864",1531753802
"165","42.0096631911395+-87.6703701938129","41.9786623813445+-87.7709799398797",1531753802
"166","42.0096631911395+-87.6703701938129","41.9937899822757+-87.758306927832",1531753802
"167","42.0096631911395+-87.6703701938129","41.9835235863978+-87.7235976823831",1531753802
"168","42.0096631911395+-87.6703701938129","41.9679829995773+-87.7214281179818",1531753802
"169","42.0096631911395+-87.6703701938129","41.9538532333971+-87.7632868435899",1531753802
"170","42.0096631911395+-87.6703701938129","41.953476156782+-87.7234277416332",1531753802
"171","42.0096631911395+-87.6703701938129","41.9463738460307+-87.8059469561618",1531753802
"172","42.0096631911395+-87.6703701938129","41.9291592878285+-87.7979118631765",1531753802
"173","42.0096631911395+-87.6703701938129","41.9270986914441+-87.7653924214029",1531753802
"174","42.0096631911395+-87.6703701938129","41.9242178973088+-87.7345987231629",1531753802
"175","42.0096631911395+-87.6703701938129","41.9385658738959+-87.711080987541",1531753802
"176","42.0096631911395+-87.6703701938129","41.9226789514424+-87.6991063254002",1531753802
"177","42.0096631911395+-87.6703701938129","41.8999821907166+-87.7208184888597",1531753802
"178","42.0096631911395+-87.6703701938129","41.9011559749849+-87.676415061286",1531753802
"179","42.0096631911395+-87.6703701938129","41.8995471517769+-87.6332700966026",1531753802
"180","42.0096631911395+-87.6703701938129","41.8940053778173+-87.7629749199119",1531753802
"181","42.0096631911395+-87.6703701938129","41.8785040925962+-87.7301443114603",1531753802
"182","42.0096631911395+-87.6703701938129","41.8787818601916+-87.7059139182524",1531753802
"183","42.0096631911395+-87.6703701938129","41.8740352843214+-87.6635536721441",1531753802
"184","42.0096631911395+-87.6703701938129","41.8601262251482+-87.7171532950132",1531753802
"185","42.0096631911395+-87.6703701938129","41.8390114768947+-87.7140496155995",1531753802
"186","42.0096631911395+-87.6703701938129","41.8502567877367+-87.6672680881399",1531753802
"187","42.0096631911395+-87.6703701938129","41.8782925714324+-87.626076118601",1531753802
"188","42.0096631911395+-87.6703701938129","41.85726065669+-87.6203836316986",1531753802
"189","42.0096631911395+-87.6703701938129","41.8419653804173+-87.6338795824279",1531753802
"190","42.0096631911395+-87.6703701938129","41.8350725174674+-87.6186374457239",1531753802
"191","42.0096631911395+-87.6703701938129","41.8235575022133+-87.6033262875412",1531753802
"192","42.0096631911395+-87.6703701938129","41.8090232230865+-87.6323556977827",1531753802
"193","42.0096631911395+-87.6703701938129","41.812848909257+-87.6178577231512",1531753802
"194","42.0096631911395+-87.6703701938129","41.8088052230625+-87.5959367718463",1531753802
"195","42.0096631911395+-87.6703701938129","41.7922326296234+-87.6180150144074",1531753802
"196","42.0096631911395+-87.6703701938129","41.7939655116723+-87.5919106636563",1531753802
"197","42.0096631911395+-87.6703701938129","41.7788926978829+-87.5941325451083",1531753802
"198","42.0096631911395+-87.6703701938129","41.7616193467157+-87.5727470665295",1531753802
"199","42.0096631911395+-87.6703701938129","41.7401322346728+-87.6158514499342",1531753802
"200","42.0096631911395+-87.6703701938129","41.7441202257605+-87.5861921763079",1531753802
"201","42.0096631911395+-87.6703701938129","41.7413785813157+-87.5513955113753",1531753802
"202","42.0096631911395+-87.6703701938129","41.729615128567+-87.5725274700127",1531753802
"203","42.0096631911395+-87.6703701938129","41.7065552558309+-87.6232658413343",1531753802
"204","42.0096631911395+-87.6703701938129","41.7058963058351+-87.598104102787",1531753802
"205","42.0096631911395+-87.6703701938129","41.6906385662062+-87.5698357426607",1531753802
"206","42.0096631911395+-87.6703701938129","41.7066550122029+-87.534804215858",1531753802
"207","42.0096631911395+-87.6703701938129","41.6604320500272+-87.5465856207628",1531753802
"208","42.0096631911395+-87.6703701938129","41.6735687088478+-87.6354937597493",1531753802
"209","42.0096631911395+-87.6703701938129","41.796264856876+-87.7641557922866",1531753802
"210","42.0096631911395+-87.6703701938129","41.8109819729256+-87.7262954303026",1531753802
"211","42.0096631911395+-87.6703701938129","41.8173919060482+-87.6989565180089",1531753802
"212","42.0096631911395+-87.6703701938129","41.8298751695202+-87.6725404738332",1531753802
"213","42.0096631911395+-87.6703701938129","41.8360972262197+-87.6486657577671",1531753802
"214","42.0096631911395+-87.6703701938129","41.8090047564555+-87.6591125453525",1531753802
"215","42.0096631911395+-87.6703701938129","41.7931003787602+-87.7241696258954",1531753802
"216","42.0096631911395+-87.6703701938129","41.769813487811+-87.7269587839611",1531753802
"217","42.0096631911395+-87.6703701938129","41.7718171397642+-87.6956225011237",1531753802
"218","42.0096631911395+-87.6703701938129","41.7758191434555+-87.6665444291438",1531753802
"219","42.0096631911395+-87.6703701938129","41.7771553035109+-87.642533797381",1531753802
"220","42.0096631911395+-87.6703701938129","41.7631313750895+-87.6161449758319",1531753802
"221","42.0096631911395+-87.6703701938129","41.7458789496277+-87.708447442138",1531753802
"222","42.0096631911395+-87.6703701938129","41.7441251555629+-87.6561939910038",1531753802
"223","42.0096631911395+-87.6703701938129","41.713174341624+-87.674905487756",1531753802
"224","42.0096631911395+-87.6703701938129","41.717497136584+-87.6488126158935",1531753802
"225","42.0096631911395+-87.6703701938129","41.6949427303407+-87.7131143035803",1531753802
"226","42.0096631911395+-87.6703701938129","41.6897028333982+-87.6689093722473",1531753802
"227","42.0096631911395+-87.6703701938129","41.9868055870168+-87.6636453524612",1531753802
"228","42.0096631911395+-87.6703701938129","41.7796443848087+-87.7685395125761",1531753802
"229","42.0096631911395+-87.6703701938129","41.7953684038668+-87.6963426618231",1531753802
"230","42.0096631911395+-87.6703701938129","41.9755410217275+-87.8934158515724",1531753802
"231","42.0096631911395+-87.6703701938129","41.9849092714936+-87.804541879143",1531753802
"232","42.0016266052879+-87.6952739229127","41.7280697384747+-87.5963650537819",1531753802
"233","42.0016266052879+-87.6952739229127","41.6600735833141+-87.6027606644691",1531753802
"234","42.0016266052879+-87.6952739229127","42.0096631911395+-87.6703701938129",1531753802
"235","42.0016266052879+-87.6952739229127","42.0016266052879+-87.6952739229127",1531753802
"236","42.0016266052879+-87.6952739229127","41.9660049251669+-87.6560655873818",1531753802
"237","42.0016266052879+-87.6952739229127","41.9752938653085+-87.6876044912929",1531753802
"238","42.0016266052879+-87.6952739229127","41.947802478396+-87.6838288880792",1531753802
"239","42.0016266052879+-87.6952739229127","41.9443051170158+-87.6559584046758",1531753802
"240","42.0016266052879+-87.6952739229127","41.9225628780949+-87.6492264530699",1531753802
"241","42.0016266052879+-87.6952739229127","42.0074587818873+-87.8139526140864",1531753802
"242","42.0016266052879+-87.6952739229127","41.9786623813445+-87.7709799398797",1531753802
"243","42.0016266052879+-87.6952739229127","41.9937899822757+-87.758306927832",1531753802
