,,,,,,Distance.Time,
"80|""80""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""25311""|""6096""|""OK""",
"81|""81""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""19423""|""4456""|""OK""",
"82|""82""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""21986""|""5202""|""OK""",
"83|""83""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""19941""|""4502""|""OK""",
"84|""84""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""21838""|""5087""|""OK""",
"85|""85""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""30740""|""5953""|""OK""",
"86|""86""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""16719""|""4154""|""OK""",
"87|""87""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""35161""|""6184""|""OK"""
"88|""88""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""34986""|""6051""|""OK""",
"89|""89""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""35568""|""5897""|""OK""",
"90|""90""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""37974""|""6466""|""OK""",
"91|""91""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""34629""|""6177""|""OK""",
"92|""92""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""34027""|""6158""|""OK""",
"93|""93""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""35624""|""7881""|""OK""",
"94|""94""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""37482""|""6094""|""OK""",
"95|""95""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""34540""|""5785""|""OK""",
"96|""96""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""38022""|""6972""|""OK""",
"97|""97""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""36603""|""7196""|""OK""",
"98|""98""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""37331""|""6211""|""OK""",
"99|""99""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""38427""|""7753""|""OK""",
"100|""100""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""38058""|""6518""|""OK""",
"101|""101""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""38439""|""6815""|""OK""",
"102|""102""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""600 E 130th St", Chicago,IL 60628,"USA""|""15684""|""3686""|""OK""",
"103|""103""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""35465""|""5342""|""OK""",
"104|""104""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""16304""|""2670""|""OK""",
"105|""105""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""16304""|""2670""|""OK""",
"106|""106""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""32069""|""4819""|""OK""",
"107|""107""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""26147""|""4379""|""OK""",
"108|""108""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""26368""|""3594""|""OK""",
"109|""109""|""641 W 63rd St", Chicago,IL 60637,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""28651""|""4414""|""OK""",
"110|""110""|""654 E 47th St", Chicago,IL 60653,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""26599""|""4275""|""OK""",
"111|""111""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""27640""|""4326""|""OK""",
"112|""112""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""31117""|""5248""|""OK""",
"113|""113""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""38145""|""6071""|""OK""",
"114|""114""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""35295""|""5646""|""OK""",
"115|""115""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""22155""|""4167""|""OK""",
"116|""116""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""36861""|""5367""|""OK""",
"117|""117""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""21395""|""3517""|""OK""",
"118|""118""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""25090""|""3983""|""OK""",
"119|""119""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""19468""|""4911""|""OK""",
"120|""120""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""24522""|""4615""|""OK""",
"121|""121""|""200 E 115th St", Chicago,IL 60628,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""39352""|""5948""|""OK""",
"122|""122""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""39817""|""5937""|""OK""",
"123|""123""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""5971""|""1471""|""OK""",
"124|""124""|""200 E 115th St", Chicago,IL 60628,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""39352""|""5948""|""OK""",
"125|""125""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""23573""|""4845""|""OK""",
"126|""126""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""9410""|""2432""|""OK""",
"127|""127""|""29 E Madison St", Chicago,IL 60602,"USA""|""7001 N Ashland Ave", Chicago,IL 60626,"USA""|""17344""|""1536""|""OK""",
"128|""128""|""641 W 63rd St", Chicago,IL 60637,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""28651""|""4414""|""OK""",
"129|""129""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""16969""|""2850""|""OK""",
"130|""130""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""30823""|""4680""|""OK""",
"131|""131""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""28992""|""5051""|""OK""",
"132|""132""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""37171""|""6043""|""OK""",
"133|""133""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""38872""|""6081""|""OK""",
"134|""134""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""40682""|""5640""|""OK""",
"135|""135""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""39725""|""6324""|""OK""",
"136|""136""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""22155""|""4167""|""OK""",
"137|""137""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""36861""|""5367""|""OK""",
"138|""138""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""15498""|""2820""|""OK"""
"139|""139""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""15323""|""2687""|""OK""",
"140|""140""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""13850""|""2263""|""OK""",
"141|""141""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""12726""|""2532""|""OK""",
"142|""142""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""15576""|""2877""|""OK""",
"143|""143""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""18162""|""3497""|""OK""",
"144|""144""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""18447""|""3655""|""OK""",
"145|""145""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""12234""|""2160""|""OK""",
"146|""146""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""21395""|""3517""|""OK""",
"147|""147""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""18359""|""3606""|""OK""",
"148|""148""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""20742""|""3824""|""OK""",
"149|""149""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""14110""|""3706""|""OK""",
"150|""150""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""22565""|""4381""|""OK""",
"151|""151""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""12810""|""2584""|""OK""",
"152|""152""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""11695""|""2952""|""OK""",
"153|""153""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""7020 N Ashland Blvd", Chicago,IL 60626,"USA""|""38379""|""5254""|""OK""",
"154|""154""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""37646""|""6427""|""OK""",
"155|""155""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""19674""|""3950""|""OK""",
"156|""156""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""19674""|""3950""|""OK""",
"157|""157""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""33826""|""5666""|""OK""",
"158|""158""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""28787""|""5545""|""OK""",
