,,,,,,Distance.Time,
"2259|""2259""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""19593""|""2949""|""OK""",
"2260|""2260""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""16096""|""3052""|""OK""",
"2261|""2261""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""20139""|""3549""|""OK""",
"2262|""2262""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""19331""|""3485""|""OK""",
"2263|""2263""|""200 E 115th St", Chicago,IL 60628,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""7788""|""1615""|""OK""",
"2264|""2264""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""10193""|""2216""|""OK""",
"2265|""2265""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""29151""|""4083""|""OK""",
"2266|""2266""|""200 E 115th St", Chicago,IL 60628,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""7788""|""1615""|""OK""",
"2267|""2267""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""30345""|""5657""|""OK""",
"2268|""2268""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""24229""|""4119""|""OK""",
"2269|""2269""|""29 E Madison St", Chicago,IL 60602,"USA""|""356 E 85th St", Chicago,IL 60619,"USA""|""17649""|""1532""|""OK""",
"2270|""2270""|""641 W 63rd St", Chicago,IL 60637,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""6828""|""2246""|""OK""",
"2271|""2271""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""17972""|""2552""|""OK""",
"2272|""2272""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""6031""|""1674""|""OK""",
"2273|""2273""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""11385""|""3115""|""OK""",
"2274|""2274""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""5743""|""2067""|""OK""",
"2275|""2275""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""5675""|""1711""|""OK""",
"2276|""2276""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""7507""|""2035""|""OK""",
"2277|""2277""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""6313""|""1970""|""OK""",
"2278|""2278""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""12488""|""2931""|""OK""",
"2279|""2279""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""5144""|""2066""|""OK""",
"2280|""2280""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""20215""|""3152""|""OK"""
"2281|""2281""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""20040""|""3019""|""OK""",
"2282|""2282""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""20622""|""2865""|""OK""",
"2283|""2283""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""23028""|""3494""|""OK""",
"2284|""2284""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""19682""|""3145""|""OK""",
"2285|""2285""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""19076""|""2989""|""OK""",
"2286|""2286""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""20692""|""3507""|""OK""",
"2287|""2287""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""22536""|""3122""|""OK""",
"2288|""2288""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""19593""|""2949""|""OK""",
"2289|""2289""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""23076""|""4112""|""OK""",
"2290|""2290""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""21656""|""3316""|""OK""",
"2291|""2291""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""22704""|""3657""|""OK""",
"2292|""2292""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""22800""|""4122""|""OK""",
"2293|""2293""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""23112""|""3546""|""OK""",
"2294|""2294""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""23493""|""3843""|""OK""",
"2295|""2295""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""347 E 85th St", Chicago,IL 60619,"USA""|""7490""|""2504""|""OK""",
"2296|""2296""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""2085""|""972""|""OK""",
"2297|""2297""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""17857""|""2841""|""OK""",
"2298|""2298""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""17857""|""2841""|""OK""",
"2299|""2299""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""3046""|""907""|""OK""",
"2300|""2300""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8907""|""2886""|""OK""",
"2301|""2301""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""9764""|""2608""|""OK""",
"2302|""2302""|""641 W 63rd St", Chicago,IL 60637,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8773""|""3251""|""OK""",
"2303|""2303""|""654 E 47th St", Chicago,IL 60653,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""9217""|""2779""|""OK""",
"2304|""2304""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8792""|""2499""|""OK""",
"2305|""2305""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""12732""|""3541""|""OK""",
"2306|""2306""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""5133""|""1964""|""OK""",
"2307|""2307""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8350""|""2691""|""OK""",
"2308|""2308""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""13684""|""2372""|""OK""",
"2309|""2309""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8900""|""2818""|""OK""",
"2310|""2310""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""20003""|""3648""|""OK""",
"2311|""2311""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""19178""|""3681""|""OK""",
"2312|""2312""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""23266""|""4477""|""OK""",
"2313|""2313""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""22413""|""4264""|""OK""",
"2314|""2314""|""200 E 115th St", Chicago,IL 60628,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8155""|""1871""|""OK""",
"2315|""2315""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""12061""|""2993""|""OK""",
"2316|""2316""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""29560""|""4662""|""OK""",
"2317|""2317""|""200 E 115th St", Chicago,IL 60628,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8155""|""1871""|""OK""",
"2318|""2318""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""30754""|""6176""|""OK""",
"2319|""2319""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""24638""|""4548""|""OK""",
"2320|""2320""|""29 E Madison St", Chicago,IL 60602,"USA""|""1564 E 83rd St", Chicago,IL 60617,"USA""|""19508""|""1776""|""OK""",
"2321|""2321""|""641 W 63rd St", Chicago,IL 60637,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8773""|""3251""|""OK""",
"2322|""2322""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""17484""|""2724""|""OK""",
"2323|""2323""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""7995""|""2209""|""OK""",
"2324|""2324""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""13333""|""3767""|""OK""",
"2325|""2325""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""2389""|""1593""|""OK""",
"2326|""2326""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""3525""|""1362""|""OK""",
"2327|""2327""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""4515""|""1479""|""OK""",
"2328|""2328""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""4833""|""1637""|""OK""",
"2329|""2329""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""13684""|""2372""|""OK""",
"2330|""2330""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""8900""|""2818""|""OK""",
"2331|""2331""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""19417""|""3624""|""OK"""
"2332|""2332""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""19241""|""3495""|""OK""",
"2333|""2333""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""21031""|""3444""|""OK""",
"2334|""2334""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""23437""|""4073""|""OK""",
"2335|""2335""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""19462""|""3657""|""OK""",
"2336|""2336""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""19595""|""3646""|""OK""",
"2337|""2337""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""19965""|""3769""|""OK""",
"2338|""2338""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""22945""|""3701""|""OK""",
"2339|""2339""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""20003""|""3648""|""OK""",
"2340|""2340""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""22541""|""4568""|""OK""",
"2341|""2341""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""22065""|""4045""|""OK""",
"2342|""2342""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""22711""|""3943""|""OK""",
"2343|""2343""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""22881""|""4558""|""OK""",
"2344|""2344""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""23521""|""4125""|""OK""",
"2345|""2345""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""23902""|""4422""|""OK""",
"2346|""2346""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""1559 E 83rd St", Chicago,IL 60619,"USA""|""11153""|""2758""|""OK""",
"2347|""2347""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""4484""|""1338""|""OK""",
"2348|""2348""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""19242""|""2483""|""OK""",
"2349|""2349""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""19242""|""2483""|""OK""",
"2350|""2350""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""7473""|""1911""|""OK""",
"2351|""2351""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""11888""|""3047""|""OK""",
"2352|""2352""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""13793""|""2769""|""OK""",
"2353|""2353""|""641 W 63rd St", Chicago,IL 60637,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""12756""|""3107""|""OK""",
"2354|""2354""|""654 E 47th St", Chicago,IL 60653,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""12755""|""3628""|""OK""",
"2355|""2355""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""13836""|""4019""|""OK""",
"2356|""2356""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""15131""|""4267""|""OK""",
"2357|""2357""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""956""|""312""|""OK""",
"2358|""2358""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""10666""|""3153""|""OK""",
"2359|""2359""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""21287""|""3408""|""OK""",
"2360|""2360""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""10564""|""2928""|""OK""",
"2361|""2361""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""23727""|""3299""|""OK""",
"2362|""2362""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""27422""|""3765""|""OK""",
"2363|""2363""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""21765""|""3839""|""OK""",
"2364|""2364""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""27002""|""4675""|""OK""",
"2365|""2365""|""200 E 115th St", Chicago,IL 60628,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""12528""|""3380""|""OK""",
"2366|""2366""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""13519""|""3460""|""OK""",
"2367|""2367""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""29148""|""4481""|""OK""",
"2368|""2368""|""200 E 115th St", Chicago,IL 60628,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""12528""|""3380""|""OK""",
"2369|""2369""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""31627""|""5285""|""OK""",
"2370|""2370""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""25681""|""4709""|""OK""",
"2371|""2371""|""29 E Madison St", Chicago,IL 60602,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""22635""|""1858""|""OK""",
"2372|""2372""|""641 W 63rd St", Chicago,IL 60637,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""12756""|""3107""|""OK""",
"2373|""2373""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""18874""|""2304""|""OK""",
"2374|""2374""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""11498""|""3119""|""OK""",
"2375|""2375""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""15732""|""4493""|""OK""",
"2376|""2376""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""1101""|""821""|""OK""",
"2377|""2377""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""716""|""537""|""OK""",
"2378|""2378""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""3068""|""1465""|""OK""",
"2379|""2379""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""927""|""276""|""OK""",
"2380|""2380""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""21287""|""3408""|""OK""",
"2381|""2381""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""10564""|""2928""|""OK""",
"2382|""2382""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""20617""|""2915""|""OK"""
"2383|""2383""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""20441""|""2786""|""OK""",
"2384|""2384""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""22100""|""3605""|""OK""",
"2385|""2385""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""24164""|""4060""|""OK""",
"2386|""2386""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""20662""|""2948""|""OK""",
"2387|""2387""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""20393""|""3350""|""OK""",
"2388|""2388""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""22087""|""3437""|""OK""",
"2389|""2389""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""24013""|""3862""|""OK""",
"2390|""2390""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""23727""|""3299""|""OK""",
"2391|""2391""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""24891""|""4572""|""OK""",
"2392|""2392""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""23089""|""3606""|""OK""",
"2393|""2393""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""23927""|""4107""|""OK""",
"2394|""2394""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""24464""|""4562""|""OK""",
"2395|""2395""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""25590""|""4141""|""OK""",
"2396|""2396""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""25766""|""4294""|""OK""",
"2397|""2397""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""8473 S Commercial Ave", Chicago,IL 60617,"USA""|""13111""|""3821""|""OK""",
"2398|""2398""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""3106""|""1241""|""OK""",
"2399|""2399""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""18922""|""2431""|""OK""",
"2400|""2400""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""18922""|""2431""|""OK""",
"2401|""2401""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""6764""|""2188""|""OK""",
"2402|""2402""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""11440""|""2532""|""OK""",
"2403|""2403""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""12233""|""3022""|""OK""",
"2404|""2404""|""641 W 63rd St", Chicago,IL 60637,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""11378""|""3010""|""OK""",
"2405|""2405""|""654 E 47th St", Chicago,IL 60653,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""12046""|""3081""|""OK""",
"2406|""2406""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""13079""|""3595""|""OK""",
"2407|""2407""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""16300""|""4031""|""OK""",
"2408|""2408""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""4872""|""2002""|""OK""",
"2409|""2409""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""11919""|""3181""|""OK""",
"2410|""2410""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""20948""|""3594""|""OK""",
"2411|""2411""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""8309""|""2228""|""OK""",
"2412|""2412""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""20859""|""2975""|""OK""",
"2413|""2413""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""24554""|""3441""|""OK""",
"2414|""2414""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""21405""|""4025""|""OK""",
"2415|""2415""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""28069""|""4422""|""OK""",
"2416|""2416""|""200 E 115th St", Chicago,IL 60628,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""9160""|""2179""|""OK""",
"2417|""2417""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""11565""|""2780""|""OK""",
"2418|""2418""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""30304""|""4559""|""OK""",
"2419|""2419""|""200 E 115th St", Chicago,IL 60628,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""9160""|""2179""|""OK""",
"2420|""2420""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""31174""|""5471""|""OK""",
"2421|""2421""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""25380""|""4895""|""OK""",
"2422|""2422""|""29 E Madison St", Chicago,IL 60602,"USA""|""2100 E 91st St", Chicago,IL 60617,"USA""|""22460""|""1764""|""OK""",
"2423|""2423""|""641 W 63rd St", Chicago,IL 60637,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""11378""|""3010""|""OK""",
"2424|""2424""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""18549""|""2314""|""OK""",
"2425|""2425""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""8306""|""2876""|""OK""",
"2426|""2426""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""16901""|""4257""|""OK""",
"2427|""2427""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""3068""|""1327""|""OK""",
"2428|""2428""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""2519""|""1149""|""OK""",
"2429|""2429""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""1085""|""503""|""OK""",
"2430|""2430""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""9101 S Clyde Ave", Chicago,IL 60617,"USA""|""2981""|""1089""|""OK""",
