"index"|"destination"|"origin"|"distance"|"duration"|"status"
"59"|"59"|"3204 S Lituanica Ave, Chicago, IL 60608, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"18692"|"3752"|"OK"
"60"|"60"|"1330 W 47th St, Chicago, IL 60609, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"16077"|"3007"|"OK"
"61"|"61"|"5505 S Komensky Ave, Chicago, IL 60629, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"19687"|"4006"|"OK"
"62"|"62"|"4132 W 68th St, Chicago, IL 60629, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"15620"|"4247"|"OK"
"63"|"63"|"6655 S Francisco Ave, Chicago, IL 60629, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"16447"|"4238"|"OK"
"64"|"64"|"1630 W 65th St, Chicago, IL 60636, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"12886"|"3006"|"OK"
"65"|"65"|"6407 S Union Ave, Chicago, IL 60621, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"11484"|"2843"|"OK"
"66"|"66"|"7232 S King Dr, Chicago, IL 60619, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"7077"|"1698"|"OK"
"67"|"67"|"3451 W Columbus Ave, Chicago, IL 60652, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"12445"|"3761"|"OK"
"68"|"68"|"8228 S Throop St, Chicago, IL 60620, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"6864"|"2608"|"OK"
"69"|"69"|"9916 S Hoyne Ave, Chicago, IL 60643, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"8453"|"2488"|"OK"
"70"|"70"|"1001 W 97th St, Chicago, IL 60643, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"5875"|"1743"|"OK"
"71"|"71"|"10901 S Lawndale Ave, Chicago, IL 60655, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"13784"|"2909"|"OK"
"72"|"72"|"1836 W Montvale Ave, Chicago, IL 60643, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"9832"|"2188"|"OK"
"73"|"73"|"1309 W Early Ave, Chicago, IL 60660, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"35000"|"5044"|"OK"
"74"|"74"|"5833 W 62nd St, Chicago, IL 60638, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"22171"|"5981"|"OK"
"75"|"75"|"5400 S Francisco Ave, Chicago, IL 60632, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"17537"|"3666"|"OK"
"76"|"76"|"O'Hare, Chicago, IL, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"55460"|"9473"|"OK"
"77"|"77"|"7112 W Talcott Ave, Chicago, IL 60631, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"42180"|"5789"|"OK"
"78"|"78"|"9130 S University Ave, Chicago, IL 60619, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"17087"|"4250"|"OK"
"79"|"79"|"600 E 130th St, Chicago, IL 60628, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"0"|"0"|"OK"
"80"|"80"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"49075"|"7808"|"OK"
"81"|"81"|"6608 N Rockwell St, Chicago, IL 60645, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"51346"|"9154"|"OK"
"82"|"82"|"4617 N Kenmore Ave, Chicago, IL 60640, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"43820"|"6830"|"OK"
"83"|"83"|"5145 N Claremont Ave, Chicago, IL 60625, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"47462"|"8117"|"OK"
"84"|"84"|"3608 N Leavitt St, Chicago, IL 60618, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"43990"|"7256"|"OK"
"85"|"85"|"1041 W Newport Ave, Chicago, IL 60657, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"41894"|"6743"|"OK"
