Neighborhood,Male Population,Male Under 15,Male 15 to 17,Male 18 to 24,Males 25-34,Males 35-49,Males 50+,Male_under_15%,Male_15-17%,Male_18-24%,Male_25-34%,Male_35-49%,Male_50+%,Female_Population,Female Under 15,Female 15-17,Female 18-24,Female 25-34,Female 35-49,Female 50+,Female_Under_15%,Female_15-17%,Female_18-24%,Female_25-34%,Female_35-49%,Female_50+%
Oakland,2440,756,151,220,298,470,545,0.309836066,0.061885246,0.090163934,0.122131148,0.192622951,0.223360656,3478,757,170,297,573,815,866,0.217653824,0.048878666,0.085393905,0.164749856,0.234330075,0.248993675
Fuller Park,1391,301,74,139,153,238,486,0.216391086,0.053199137,0.099928109,0.109992811,0.171099928,0.349388929,1485,257,79,149,176,255,569,0.173063973,0.053198653,0.1003367,0.118518519,0.171717172,0.383164983
Grand Boulevard,9456,2296,535,871,1218,1954,2582,0.242808799,0.056577834,0.092110829,0.128807107,0.206641286,0.273054146,12473,2208,546,1017,1923,2773,4006,0.177022368,0.043774553,0.081536118,0.154173014,0.222320212,0.321173735
Kenwood,7615,1486,295,782,1249,1451,2352,0.195141169,0.03873933,0.102692055,0.164018385,0.190544977,0.308864084,10226,1459,300,923,1730,1984,3830,0.142675533,0.029336984,0.090260121,0.169176609,0.194015255,0.374535498
Washington Park,5058,1613,356,570,645,882,992,0.318900751,0.070383551,0.112692764,0.127520759,0.174377224,0.196124951,6659,1605,400,739,1108,1381,1426,0.241027181,0.060069079,0.110977624,0.16639135,0.207388497,0.214146268
Hyde Park,12223,1273,225,2771,2782,2012,3160,0.104147918,0.018407919,0.226703755,0.227603698,0.164607707,0.258529003,13458,1275,232,2870,2801,2201,4079,0.094739189,0.017238817,0.213256056,0.208128994,0.163545846,0.303091098
Woodlawn,10637,2642,598,1589,1357,1881,2570,0.248378302,0.056218859,0.149384225,0.127573564,0.176835574,0.241609476,13103,2518,618,1688,1952,2582,3745,0.192169732,0.047164771,0.12882546,0.148973518,0.19705411,0.285812409
South Shore,22742,5015,1085,2169,2994,4496,6983,0.220517105,0.047709085,0.095374198,0.13165069,0.197695893,0.30705303,29268,4966,1191,2763,4190,5929,10229,0.169673363,0.040692907,0.094403444,0.143159765,0.202576192,0.349494328
Chatham,13401,2688,713,1276,1543,2584,4597,0.200582046,0.053204985,0.095216775,0.115140661,0.192821431,0.343034102,17627,2767,713,1432,1923,3383,7409,0.156975095,0.040449311,0.081239008,0.109094004,0.191921484,0.420321098
Avalon Park,4430,887,253,362,458,880,1590,0.200225734,0.057110609,0.081715576,0.103386005,0.198645598,0.358916479,5755,853,249,425,568,1127,2533,0.14821894,0.043266725,0.073848827,0.098696785,0.195829713,0.44013901
South Chicago,14245,3656,818,1550,1710,2609,3902,0.256651457,0.057423657,0.108810109,0.12004212,0.183151983,0.273920674,16953,3575,861,1697,2192,3129,5499,0.210877131,0.050787471,0.100100277,0.129298649,0.184569103,0.324367369
Burnside,1286,319,88,130,136,234,379,0.248055988,0.068429238,0.101088647,0.105754277,0.181959565,0.294712286,1630,302,87,120,181,283,657,0.185276074,0.053374233,0.073619632,0.111042945,0.173619632,0.403067485
Calumet Heights,6136,1102,300,499,583,1245,2407,0.179595828,0.048891786,0.081323338,0.095013038,0.202900913,0.392275098,7676,1094,312,473,691,1438,3668,0.142522147,0.04064617,0.061620636,0.090020844,0.187337155,0.477853048
Roseland,19881,4458,1178,2121,2094,3674,6356,0.224234193,0.059252553,0.106684774,0.105326694,0.184799557,0.319702228,24738,4478,1286,2434,2483,4598,9459,0.181017059,0.051984801,0.098391139,0.100371897,0.185867896,0.382367208
Pullman,3262,771,186,328,429,604,944,0.236358063,0.057020233,0.100551809,0.131514408,0.185162477,0.28939301,4063,740,171,340,480,869,1463,0.18213143,0.042087128,0.083682008,0.118139306,0.213881368,0.36007876
South Deering,6938,1768,406,727,773,1268,1996,0.254828481,0.058518305,0.104785241,0.111415393,0.182761603,0.287690977,8171,1703,391,714,968,1544,2851,0.208420022,0.04785216,0.087382205,0.118467752,0.188960959,0.348916901
East Side,11390,2935,611,1235,1636,2279,2694,0.257682177,0.053643547,0.108428446,0.143634767,0.200087796,0.236523266,11652,3006,546,1132,1592,2182,3194,0.257981462,0.046858908,0.097150704,0.136628905,0.187263989,0.274116032
West Pullman,13501,3302,892,1486,1535,2427,3859,0.244574476,0.06606918,0.110065921,0.113695282,0.179764462,0.285830679,16150,3335,885,1612,1809,3052,5457,0.206501548,0.054798762,0.099814241,0.112012384,0.188978328,0.337894737
Riverdale,2664,1112,283,291,279,328,371,0.417417417,0.106231231,0.109234234,0.10472973,0.123123123,0.139264264,3818,1095,226,435,606,727,729,0.286799371,0.059193295,0.113933997,0.158721844,0.190413829,0.190937664
Hegewisch,4697,1039,221,438,570,927,1502,0.221205024,0.047051309,0.093251011,0.121354056,0.197360017,0.319778582,4729,933,186,366,597,921,1726,0.197293297,0.039331783,0.077394798,0.126242335,0.194755762,0.364982026
Garfield Ridge,16792,3375,704,1490,2303,3589,5331,0.200988566,0.041924726,0.08873273,0.137148642,0.21373273,0.317472606,17721,3397,682,1442,2240,3518,6442,0.191693471,0.038485413,0.081372383,0.126403702,0.198521528,0.363523503
